field_1,X,Y
"15131",4.677,52.459
"15132",4.691,52.459
"15133",4.706,52.458
"15134",4.72,52.457
"15135",4.734,52.457
"15136",4.748,52.456
"15137",4.762,52.455
"15138",4.776,52.455
"15139",4.79,52.454
"15140",4.804,52.453
"15141",4.818,52.452
"15142",4.832,52.452
"15143",4.846,52.451
"15144",4.86,52.45
"15145",4.875,52.449
"15146",4.889,52.449
"15147",4.903,52.448
"15148",4.917,52.447
"15149",4.931,52.446
"15150",4.945,52.446
"15151",4.959,52.445
"15152",4.973,52.444
"15153",4.987,52.443
"15154",5.001,52.443
"15155",5.015,52.442
"15156",5.029,52.441
"15157",5.043,52.44
"15158",5.058,52.44
"15291",4.676,52.451
"15292",4.69,52.45
"15293",4.704,52.449
"15294",4.718,52.449
"15295",4.733,52.448
"15296",4.747,52.447
"15297",4.761,52.447
"15298",4.775,52.446
"15299",4.789,52.445
"15300",4.803,52.444
"15301",4.817,52.444
"15302",4.831,52.443
"15303",4.845,52.442
"15304",4.859,52.442
"15305",4.873,52.441
"15306",4.887,52.44
"15307",4.902,52.439
"15308",4.916,52.439
"15309",4.93,52.438
"15310",4.944,52.437
"15311",4.958,52.436
"15312",4.972,52.436
"15313",4.986,52.435
"15314",5,52.434
"15315",5.014,52.433
"15316",5.028,52.433
"15317",5.042,52.432
"15318",5.056,52.431
"15319",5.07,52.43
"15452",4.675,52.442
"15453",4.689,52.442
"15454",4.703,52.441
"15455",4.717,52.44
"15456",4.731,52.439
"15457",4.745,52.439
"15458",4.76,52.438
"15459",4.774,52.437
"15460",4.788,52.437
"15461",4.802,52.436
"15462",4.816,52.435
"15463",4.83,52.434
"15464",4.844,52.434
"15465",4.858,52.433
"15466",4.872,52.432
"15467",4.886,52.431
"15468",4.9,52.431
"15469",4.914,52.43
"15470",4.928,52.429
"15471",4.943,52.429
"15472",4.957,52.428
"15473",4.971,52.427
"15474",4.985,52.426
"15475",4.999,52.426
"15476",5.013,52.425
"15477",5.027,52.424
"15478",5.041,52.423
"15479",5.055,52.423
"15480",5.069,52.422
"15614",4.674,52.434
"15615",4.688,52.433
"15616",4.702,52.432
"15617",4.716,52.432
"15618",4.73,52.431
"15619",4.744,52.43
"15620",4.758,52.429
"15621",4.772,52.429
"15622",4.787,52.428
"15623",4.801,52.427
"15624",4.815,52.427
"15625",4.829,52.426
"15626",4.843,52.425
"15627",4.857,52.424
"15628",4.871,52.424
"15629",4.885,52.423
"15630",4.899,52.422
"15631",4.913,52.421
"15632",4.927,52.421
"15633",4.941,52.42
"15634",4.955,52.419
"15635",4.969,52.418
"15636",4.984,52.418
"15637",4.998,52.417
"15638",5.012,52.416
"15639",5.026,52.415
"15640",5.04,52.415
"15777",4.673,52.425
"15778",4.687,52.424
"15779",4.701,52.424
"15780",4.715,52.423
"15781",4.729,52.422
"15782",4.743,52.422
"15783",4.757,52.421
"15784",4.771,52.42
"15785",4.785,52.419
"15786",4.799,52.419
"15787",4.813,52.418
"15788",4.828,52.417
"15789",4.842,52.416
"15790",4.856,52.416
"15791",4.87,52.415
"15792",4.884,52.414
"15793",4.898,52.414
"15794",4.912,52.413
"15795",4.926,52.412
"15796",4.94,52.411
"15797",4.954,52.411
"15798",4.968,52.41
"15799",4.982,52.409
"15800",4.996,52.408
"15801",5.01,52.408
"15802",5.024,52.407
"15803",5.039,52.406
"15943",4.672,52.416
"15944",4.686,52.416
"15945",4.7,52.415
"15946",4.714,52.414
"15947",4.728,52.414
"15948",4.742,52.413
"15949",4.756,52.412
"15950",4.77,52.411
"15951",4.784,52.411
"15952",4.798,52.41
"15953",4.812,52.409
"15954",4.826,52.409
"15955",4.84,52.408
"15956",4.854,52.407
"15957",4.869,52.406
"15958",4.883,52.406
"15959",4.897,52.405
"15960",4.911,52.404
"15961",4.925,52.403
"15962",4.939,52.403
"15963",4.953,52.402
"15964",4.967,52.401
"15965",4.981,52.4
"15966",4.995,52.4
"15967",5.009,52.399
"15968",5.023,52.398
"16109",4.67,52.408
"16110",4.685,52.407
"16111",4.699,52.406
"16112",4.713,52.406
"16113",4.727,52.405
"16114",4.741,52.404
"16115",4.755,52.404
"16116",4.769,52.403
"16117",4.783,52.402
